amfi_code,scheme_name,Maximum_Drawdown,Worst_Date
120507,ICICI Pru Liquid Fund - Regular - Growth,-0.0009773140045925555,2025-10-20
120844,Kotak Liquid Fund - Regular - Growth,-0.0011629327956168556,2024-04-30
101208,ABSL Liquid Fund - Regular - Growth,-0.0016224980244717857,2023-09-12
100025,HDFC Short Term Debt Fund - Regular - Growth,-0.04308263824636349,2023-07-28
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,-0.04328728923970093,2025-04-01
118636,Nippon India Gilt Securities Fund - Regular - Growth,-0.08316361763638702,2024-02-09
102885,UTI Nifty 50 Index Fund - Regular - Growth,-0.1085986215250232,2022-03-29
148567,Mirae Asset Large Cap Fund - Regular - Growth,-0.11265729075028275,2023-10-20
101206,ABSL Frontline Equity Fund - Regular - Growth,-0.11291596329323073,2023-07-05
118635,Nippon India ETF Nifty 50 BeES,-0.1165062450540909,2022-06-09
119552,SBI Bluechip Fund - Direct Plan - Growth,-0.11803493502764295,2024-09-02
120504,ICICI Pru Bluechip Fund - Direct - Growth,-0.12588275606922517,2023-05-30
120843,Kotak Flexicap Fund - Regular - Growth,-0.1297396816518679,2022-04-13
120503,ICICI Pru Bluechip Fund - Regular - Growth,-0.13897862823061635,2023-11-09
119092,Axis Bluechip Fund - Regular - Growth,-0.1440161790933726,2025-02-07
149322,DSP Top 100 Equity Fund - Regular - Growth,-0.14844576917771746,2022-02-04
119551,SBI Bluechip Fund - Regular Plan - Growth,-0.1501238549864533,2024-02-05
125497,HDFC Top 100 Fund - Direct Plan - Growth,-0.15200013055606398,2025-01-01
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,-0.1527259422823477,2024-01-24
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,-0.16217208574644848,2022-05-12
148569,Mirae Asset Tax Saver Fund - Regular - Growth,-0.1639674294693263,2023-10-20
149323,DSP Midcap Fund - Regular - Growth,-0.17248105753451382,2022-10-24
118632,Nippon India Large Cap Fund - Regular - Growth,-0.17414075086657232,2024-07-19
120841,Kotak Bluechip Fund - Regular - Growth,-0.1757361416468729,2025-02-14
120505,ICICI Pru Midcap Fund - Regular - Growth,-0.18188513572116294,2025-01-23
118633,Nippon India Large Cap Fund - Direct - Growth,-0.18629743138595511,2024-02-29
120506,ICICI Pru Value Discovery Fund - Regular - Growth,-0.1982565826298267,2023-08-14
119094,Axis Midcap Fund - Regular - Growth,-0.20960883862039192,2022-08-11
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,-0.21117279560132118,2025-09-12
102887,UTI Flexi Cap Fund - Regular - Growth,-0.21539827112383225,2022-07-04
119093,Axis Bluechip Fund - Direct - Growth,-0.21751396370148224,2023-05-22
118634,Nippon India Small Cap Fund - Regular - Growth,-0.2334488614483311,2026-02-20
120842,Kotak Emerging Equity Fund - Regular - Growth,-0.24003511326274884,2024-10-17
100016,HDFC Top 100 Fund - Regular Plan - Growth,-0.24734440880673303,2022-09-15
102886,UTI Mid Cap Fund - Regular - Growth,-0.2800112356639287,2026-04-27
119598,SBI Small Cap Fund - Regular Plan - Growth,-0.2870600572176455,2025-05-14
149324,DSP Small Cap Fund - Regular - Growth,-0.31171900300634214,2025-01-03
101207,ABSL Small Cap Fund - Regular - Growth,-0.3544691649336603,2026-05-11
119095,Axis Small Cap Fund - Regular - Growth,-0.5167775370852656,2026-05-11
119599,SBI Small Cap Fund - Direct Plan - Growth,-0.5257422117012851,2025-10-28
